"","X","Gene.Name","D0.vs..D25.Log2.Fold.Change","D0.vs..D25.p.value","pval","log2fc","labels","sig"
"2957",47666,"OR4P4",0.683781402,0.225326261,0.225326261,0.683781402,"OR4P4","Not Sig"
"2958",17003,"FLJ13224",0.683739827,0.147271898,0.147271898,0.683739827,"FLJ13224","Not Sig"
"2959",54415,"PSD2",0.683703348,0.157343235,0.157343235,0.683703348,"PSD2","Not Sig"
"2960",9995,"ZNF140",0.683675953,0.145979549,0.145979549,0.683675953,"ZNF140","Not Sig"
"2961",15316,"CPSF7",0.683663963,0.154017599,0.154017599,0.683663963,"CPSF7","Not Sig"
"2962",55841,"MIR4477A",0.683633796,0.151476018,0.151476018,0.683633796,"MIR4477A","Not Sig"
"2963",67877,"MIR4704",0.683605113,0.195590478,0.195590478,0.683605113,"MIR4704","Not Sig"
"2964",42694,"JPH4",0.683526561,0.151762039,0.151762039,0.683526561,"JPH4","Not Sig"
"2965",4845,"CCDC106",0.683475261,0.155843886,0.155843886,0.683475261,"CCDC106","Not Sig"
"2966",41394,"PIGX",0.683353601,0.155205936,0.155205936,0.683353601,"PIGX","Not Sig"
"2967",35906,"SHFL",0.683329818,0.169319283,0.169319283,0.683329818,"SHFL","Not Sig"
"2968",19444,"IL36B",0.683168527,0.209297679,0.209297679,0.683168527,"IL36B","Not Sig"
"2969",5439,"BMP7",0.682880324,0.155895742,0.155895742,0.682880324,"BMP7","Not Sig"
"2970",29075,"TRIM33",0.682747292,0.152177418,0.152177418,0.682747292,"TRIM33","Not Sig"
"2971",34680,"SLC22A17",0.68273666,0.154910143,0.154910143,0.68273666,"SLC22A17","Not Sig"
"2972",61687,"RAD9A",0.682701376,0.159673612,0.159673612,0.682701376,"RAD9A","Not Sig"
"2973",1487,"RGPD2",0.682602684,0.417318548,0.417318548,0.682602684,"RGPD2","Not Sig"
"2974",25963,"SPACA5",0.682602684,0.417318548,0.417318548,0.682602684,"SPACA5","Not Sig"
"2975",71749,"BRICD5",0.682556863,0.160089709,0.160089709,0.682556863,"BRICD5","Not Sig"
"2976",920,"CMC2",0.682554073,0.148376548,0.148376548,0.682554073,"CMC2","Not Sig"
"2977",23774,"LOC100505915",0.682477816,0.204101431,0.204101431,0.682477816,"LOC100505915","Not Sig"
"2978",14508,"SSPN",0.682385845,0.156697443,0.156697443,0.682385845,"SSPN","Not Sig"
"2979",54383,"MAFG-DT",0.682249245,0.150151196,0.150151196,0.682249245,"MAFG-DT","Not Sig"
"2980",4587,"EDA2R",0.681987038,0.157671589,0.157671589,0.681987038,"EDA2R","Not Sig"
"2981",23587,"LYL1",0.681858271,0.159358055,0.159358055,0.681858271,"LYL1","Not Sig"
"2982",16202,"TECR",0.681695718,0.152072642,0.152072642,0.681695718,"TECR","Not Sig"
"2983",23897,"LOC100128568",0.681606144,0.155173877,0.155173877,0.681606144,"LOC100128568","Not Sig"
"2984",44045,"AFG3L2",0.681577529,0.145869805,0.145869805,0.681577529,"AFG3L2","Not Sig"
"2985",7831,"ZNF33B",0.681556194,0.150447005,0.150447005,0.681556194,"ZNF33B","Not Sig"
"2986",58436,"LINC01925",0.681552036,0.245538618,0.245538618,0.681552036,"LINC01925","Not Sig"
"2987",5110,"MYLPF",0.681528845,0.145555942,0.145555942,0.681528845,"MYLPF","Not Sig"
"2988",68902,"MIR224",0.681273756,0.209178005,0.209178005,0.681273756,"MIR224","Not Sig"
"2989",42884,"SLC38A5",0.681070896,0.181219481,0.181219481,0.681070896,"SLC38A5","Not Sig"
"2990",64466,"LCN6",0.681044467,0.177492016,0.177492016,0.681044467,"LCN6","Not Sig"
"2991",72846,"TPSG1",0.681044467,0.177492016,0.177492016,0.681044467,"TPSG1","Not Sig"
"2992",33268,"LINC01978",0.681004355,0.171799571,0.171799571,0.681004355,"LINC01978","Not Sig"
"2993",25082,"LOC101928943",0.680975354,0.163738344,0.163738344,0.680975354,"LOC101928943","Not Sig"
"2994",17014,"SCRT1",0.68085492,0.149732053,0.149732053,0.68085492,"SCRT1","Not Sig"
"2995",38607,"LOC101930071",0.680540822,0.15577506,0.15577506,0.680540822,"LOC101930071","Not Sig"
"2996",9575,"KIAA0100",0.680518733,0.157002707,0.157002707,0.680518733,"KIAA0100","Not Sig"
"2997",14770,"NCAM2",0.680397922,0.152435782,0.152435782,0.680397922,"NCAM2","Not Sig"
"2998",69594,"LOC200772",0.680371512,0.165116296,0.165116296,0.680371512,"LOC200772","Not Sig"
"2999",7642,"ALDOA",0.680338802,0.151500213,0.151500213,0.680338802,"ALDOA","Not Sig"
"3000",31480,"RAX2",0.680265737,0.175706601,0.175706601,0.680265737,"RAX2","Not Sig"
"3001",938,"TCP11",0.680159996,0.18245696,0.18245696,0.680159996,"TCP11","Not Sig"
"3002",25637,"LINC01257",0.680001446,0.192504626,0.192504626,0.680001446,"LINC01257","Not Sig"
"3003",9086,"SERINC3",0.679871039,0.164919292,0.164919292,0.679871039,"SERINC3","Not Sig"
"3004",22306,"NCLN",0.679746081,0.159746327,0.159746327,0.679746081,"NCLN","Not Sig"
"3005",39249,"GIGYF1",0.679666903,0.170016343,0.170016343,0.679666903,"GIGYF1","Not Sig"
"3006",52113,"TTC38",0.679666903,0.170016343,0.170016343,0.679666903,"TTC38","Not Sig"
"3007",19148,"NELFB",0.67955075,0.15646862,0.15646862,0.67955075,"NELFB","Not Sig"
"3008",15979,"MIR892C",0.679526249,0.22201245,0.22201245,0.679526249,"MIR892C","Not Sig"
"3009",10102,"ERAS",0.679195797,0.187934136,0.187934136,0.679195797,"ERAS","Not Sig"
"3010",1506,"TSR2",0.679192083,0.169319283,0.169319283,0.679192083,"TSR2","Not Sig"
"3011",24844,"LOC105372483",0.678958047,0.15509018,0.15509018,0.678958047,"LOC105372483","Not Sig"
"3012",10152,"RXRA",0.67894823,0.173510603,0.173510603,0.67894823,"RXRA","Not Sig"
"3013",5620,"MAFG",0.678940487,0.154186485,0.154186485,0.678940487,"MAFG","Not Sig"
"3014",58733,"FZD9",0.678901159,0.159476568,0.159476568,0.678901159,"FZD9","Not Sig"
"3015",73202,"COLGALT1",0.67871442,0.161238057,0.161238057,0.67871442,"COLGALT1","Not Sig"
"3016",16404,"SLC10A4",0.678649985,0.159681437,0.159681437,0.678649985,"SLC10A4","Not Sig"
"3017",19739,"KMT5C",0.678507312,0.148349683,0.148349683,0.678507312,"KMT5C","Not Sig"
"3018",17378,"AKAP6",0.678402195,0.188824137,0.188824137,0.678402195,"AKAP6","Not Sig"
"3019",7204,"AKAP8L",0.678326675,0.15735728,0.15735728,0.678326675,"AKAP8L","Not Sig"
"3020",10287,"SNAPC2",0.678248994,0.152118563,0.152118563,0.678248994,"SNAPC2","Not Sig"
"3021",69821,"TNFSF9",0.678203322,0.166044162,0.166044162,0.678203322,"TNFSF9","Not Sig"
"3022",42505,"VAPA",0.67793561,0.151015088,0.151015088,0.67793561,"VAPA","Not Sig"
"3023",26267,"KLHL36",0.677850665,0.164365734,0.164365734,0.677850665,"KLHL36","Not Sig"
"3024",57574,"DPYSL4",0.677668345,0.156323769,0.156323769,0.677668345,"DPYSL4","Not Sig"
"3025",2597,"DTX2P1-UPK3BP1-PMS2P11",0.677632204,0.36830158,0.36830158,0.677632204,"DTX2P1-UPK3BP1-PMS2P11","Not Sig"
"3026",60800,"OR10H4",0.677632204,0.36830158,0.36830158,0.677632204,"OR10H4","Not Sig"
"3027",13787,"SLC25A22",0.677616393,0.152072664,0.152072664,0.677616393,"SLC25A22","Not Sig"
"3028",4596,"SYT7",0.67754258,0.153924934,0.153924934,0.67754258,"SYT7","Not Sig"
"3029",10125,"IL36RN",0.677449171,0.237505346,0.237505346,0.677449171,"IL36RN","Not Sig"
"3030",69592,"KRTAP6-2",0.677449171,0.237505346,0.237505346,0.677449171,"KRTAP6-2","Not Sig"
"3031",41045,"LINC02209",0.676844957,0.203812434,0.203812434,0.676844957,"LINC02209","Not Sig"
"3032",11565,"SDCBP2-AS1",0.676804257,0.1642529,0.1642529,0.676804257,"SDCBP2-AS1","Not Sig"
"3033",3468,"BRD1",0.676728406,0.165711767,0.165711767,0.676728406,"BRD1","Not Sig"
"3034",6502,"IKBKB",0.676728406,0.165711767,0.165711767,0.676728406,"IKBKB","Not Sig"
"3035",28426,"DMXL2",0.676597215,0.154754281,0.154754281,0.676597215,"DMXL2","Not Sig"
"3036",2894,"TBL3",0.676589196,0.165478126,0.165478126,0.676589196,"TBL3","Not Sig"
"3037",7345,"CIC",0.676565247,0.149293887,0.149293887,0.676565247,"CIC","Not Sig"
"3038",59002,"C10orf126",0.676514028,0.23536292,0.23536292,0.676514028,"C10orf126","Not Sig"
"3039",18501,"C1orf35",0.676311121,0.158517899,0.158517899,0.676311121,"C1orf35","Not Sig"
"3040",30908,"HAUS8",0.676271775,0.155916014,0.155916014,0.676271775,"HAUS8","Not Sig"
"3041",30322,"CFAP52",0.676245623,0.166523181,0.166523181,0.676245623,"CFAP52","Not Sig"
"3042",718,"FAM3A",0.676208216,0.15895063,0.15895063,0.676208216,"FAM3A","Not Sig"
"3043",11424,"RPA3",0.675844733,0.204039863,0.204039863,0.675844733,"RPA3","Not Sig"
"3044",47005,"SUPT16H",0.675489814,0.158254026,0.158254026,0.675489814,"SUPT16H","Not Sig"
"3045",54000,"LPIN2",0.67547357,0.150630584,0.150630584,0.67547357,"LPIN2","Not Sig"
"3046",72006,"MIR639",0.675411699,0.15470156,0.15470156,0.675411699,"MIR639","Not Sig"
"3047",17836,"FBXO9",0.675227989,0.155763406,0.155763406,0.675227989,"FBXO9","Not Sig"
"3048",51749,"TARM1",0.674939577,0.232298826,0.232298826,0.674939577,"TARM1","Not Sig"
"3049",6383,"ZNF574",0.674913929,0.155029579,0.155029579,0.674913929,"ZNF574","Not Sig"
"3050",36008,"LPAR2",0.674880466,0.156345776,0.156345776,0.674880466,"LPAR2","Not Sig"
"3051",23984,"PGA3",0.674853357,0.267521698,0.267521698,0.674853357,"PGA3","Not Sig"
"3052",65464,"LINC01530",0.674794433,0.160229697,0.160229697,0.674794433,"LINC01530","Not Sig"
"3053",8925,"REEP1",0.674746646,0.1675363,0.1675363,0.674746646,"REEP1","Not Sig"
"3054",6458,"MAEL",0.67450823,0.161118595,0.161118595,0.67450823,"MAEL","Not Sig"
"3055",40433,"LINC01532",0.674278703,0.204332769,0.204332769,0.674278703,"LINC01532","Not Sig"
"3056",13077,"MIR3137",0.674078358,0.214092901,0.214092901,0.674078358,"MIR3137","Not Sig"
"3057",7252,"GET1",0.673845283,0.166181144,0.166181144,0.673845283,"GET1","Not Sig"
"3058",3825,"DEFB119",0.673654251,0.193050866,0.193050866,0.673654251,"DEFB119","Not Sig"
"3059",67776,"KAT2B",0.673625627,0.150340535,0.150340535,0.673625627,"KAT2B","Not Sig"
"3060",2896,"RRN3",0.673327578,0.213522293,0.213522293,0.673327578,"RRN3","Not Sig"
"3061",42678,"MUC6",0.673115202,0.174601786,0.174601786,0.673115202,"MUC6","Not Sig"
"3062",9407,"TIMM17B",0.673088699,0.154407328,0.154407328,0.673088699,"TIMM17B","Not Sig"
"3063",33957,"MIR4272",0.672806945,0.227629378,0.227629378,0.672806945,"MIR4272","Not Sig"
"3064",11968,"MIR6864",0.672493321,0.161918924,0.161918924,0.672493321,"MIR6864","Not Sig"
"3065",44819,"NDUFV2-AS1",0.672289693,0.1534533,0.1534533,0.672289693,"NDUFV2-AS1","Not Sig"
"3066",12200,"CHD4",0.672138964,0.155108227,0.155108227,0.672138964,"CHD4","Not Sig"
"3067",43620,"SORCS2",0.671590141,0.164649544,0.164649544,0.671590141,"SORCS2","Not Sig"
"3068",11554,"KIAA0930",0.671450875,0.159037514,0.159037514,0.671450875,"KIAA0930","Not Sig"
"3069",53901,"APCDD1",0.670987761,0.160492578,0.160492578,0.670987761,"APCDD1","Not Sig"
"3070",48425,"MIR1-1HG",0.670877174,0.169004873,0.169004873,0.670877174,"MIR1-1HG","Not Sig"
"3071",10658,"ZDHHC3",0.670696264,0.170000103,0.170000103,0.670696264,"ZDHHC3","Not Sig"
"3072",20613,"C11orf98",0.670291155,0.165462518,0.165462518,0.670291155,"C11orf98","Not Sig"
"3073",17426,"DRD5P2",0.67024894,0.222497643,0.222497643,0.67024894,"DRD5P2","Not Sig"
"3074",70682,"LOC101060524",0.67024894,0.222497643,0.222497643,0.67024894,"LOC101060524","Not Sig"
"3075",4682,"NIM1K",0.670048681,0.156697436,0.156697436,0.670048681,"NIM1K","Not Sig"
"3076",30116,"MIR4472-1",0.670016724,0.179571407,0.179571407,0.670016724,"MIR4472-1","Not Sig"
"3077",24468,"LCN12",0.669953946,0.167559949,0.167559949,0.669953946,"LCN12","Not Sig"
"3078",31201,"TGFB1",0.669687455,0.167449498,0.167449498,0.669687455,"TGFB1","Not Sig"
"3079",6105,"CADM3-AS1",0.669564304,0.181674976,0.181674976,0.669564304,"CADM3-AS1","Not Sig"
"3080",28400,"PGM5",0.669482918,0.307252572,0.307252572,0.669482918,"PGM5","Not Sig"
"3081",39695,"LOC105376453",0.669380662,0.159672432,0.159672432,0.669380662,"LOC105376453","Not Sig"
"3082",28704,"LOC100506585",0.669257796,0.21990741,0.21990741,0.669257796,"LOC100506585","Not Sig"
"3083",30710,"TMEM63B",0.66922753,0.15933953,0.15933953,0.66922753,"TMEM63B","Not Sig"
"3084",3841,"UXT-AS1",0.669167295,0.168683597,0.168683597,0.669167295,"UXT-AS1","Not Sig"
"3085",11911,"DNAJB1",0.669154934,0.160040204,0.160040204,0.669154934,"DNAJB1","Not Sig"
"3086",16466,"PGS1",0.668980117,0.183210311,0.183210311,0.668980117,"PGS1","Not Sig"
"3087",3521,"C10orf67",0.668928898,0.161017657,0.161017657,0.668928898,"C10orf67","Not Sig"
"3088",16284,"COL6A2",0.668922254,0.167197246,0.167197246,0.668922254,"COL6A2","Not Sig"
"3089",50547,"HSF2BP",0.668867831,0.178632641,0.178632641,0.668867831,"HSF2BP","Not Sig"
"3090",15609,"LOC728743",0.6687898,0.160629529,0.160629529,0.6687898,"LOC728743","Not Sig"
"3091",3130,"LAS1L",0.668769005,0.165514499,0.165514499,0.668769005,"LAS1L","Not Sig"
"3092",37865,"OSBP",0.668722809,0.152335345,0.152335345,0.668722809,"OSBP","Not Sig"
"3093",22939,"MICOS13",0.668653539,0.157781939,0.157781939,0.668653539,"MICOS13","Not Sig"
"3094",37732,"LINC01611",0.668550132,0.290360905,0.290360905,0.668550132,"LINC01611","Not Sig"
"3095",14194,"MIR4292",0.668423312,0.186040187,0.186040187,0.668423312,"MIR4292","Not Sig"
"3096",2598,"SPATA13",0.668320255,0.20429499,0.20429499,0.668320255,"SPATA13","Not Sig"
"3097",70757,"EPOP",0.668320222,0.168336552,0.168336552,0.668320222,"EPOP","Not Sig"
"3098",20755,"THAP1",0.668293317,0.157689722,0.157689722,0.668293317,"THAP1","Not Sig"
"3099",316,"LINC01749",0.668249544,0.168660138,0.168660138,0.668249544,"LINC01749","Not Sig"
