"","X","Gene.Name","D0.vs..D45.Log2.Fold.Change","D0.vs..D45.p.value","pval","log2fc","labels","sig"
"2136",4853,"SP6",-2.160111818,7.72e-05,7.72e-05,-2.160111818,"SP6","Down"
"2137",4854,"CNOT2",1.902907442,7.73e-05,7.73e-05,1.902907442,"CNOT2","Up"
"2138",4859,"NCKAP1",1.891129782,7.76e-05,7.76e-05,1.891129782,"NCKAP1","Up"
"2139",4860,"XKR4",1.886280292,7.76e-05,7.76e-05,1.886280292,"XKR4","Up"
"2140",4861,"ZNF137P",-2.632808746,7.77e-05,7.77e-05,-2.632808746,"ZNF137P","Down"
"2141",4862,"ZNF875",-2.632808746,7.77e-05,7.77e-05,-2.632808746,"ZNF875","Down"
"2142",4863,"STRADB",1.896081548,7.78e-05,7.78e-05,1.896081548,"STRADB","Up"
"2143",4865,"TMEM274P",-2.217954289,7.78e-05,7.78e-05,-2.217954289,"TMEM274P","Down"
"2144",4866,"PILRB",-2.180651223,7.78e-05,7.78e-05,-2.180651223,"PILRB","Down"
"2145",4867,"HERC2P11",3.35037092,7.78e-05,7.78e-05,3.35037092,"HERC2P11","Up"
"2146",4868,"ADAT2",1.89550102,7.8e-05,7.8e-05,1.89550102,"ADAT2","Up"
"2147",4869,"PEX3",1.895872783,7.8e-05,7.8e-05,1.895872783,"PEX3","Up"
"2148",4870,"ZNF430",1.947022874,7.81e-05,7.81e-05,1.947022874,"ZNF430","Up"
"2149",4872,"CARD14",-2.125389706,7.82e-05,7.82e-05,-2.125389706,"CARD14","Down"
"2150",4873,"SNORD17",-2.154432121,7.82e-05,7.82e-05,-2.154432121,"SNORD17","Down"
"2151",4874,"OGFRL1",1.895584008,7.83e-05,7.83e-05,1.895584008,"OGFRL1","Up"
"2152",4876,"TAF4B",1.899661236,7.84e-05,7.84e-05,1.899661236,"TAF4B","Up"
"2153",4880,"QTRT2",1.893110915,7.85e-05,7.85e-05,1.893110915,"QTRT2","Up"
"2154",4884,"LINC02749",1.895348931,7.86e-05,7.86e-05,1.895348931,"LINC02749","Up"
"2155",4885,"TNK1",-2.088835549,7.86e-05,7.86e-05,-2.088835549,"TNK1","Down"
"2156",4887,"PRKAR2B",1.893496372,7.87e-05,7.87e-05,1.893496372,"PRKAR2B","Up"
"2157",4888,"TBC1D32",1.890452097,7.87e-05,7.87e-05,1.890452097,"TBC1D32","Up"
"2158",4889,"CEP83",1.919888923,7.88e-05,7.88e-05,1.919888923,"CEP83","Up"
"2159",4894,"RFPL3",-2.122711196,7.89e-05,7.89e-05,-2.122711196,"RFPL3","Down"
"2160",4895,"MIR138-1",-2.122711196,7.89e-05,7.89e-05,-2.122711196,"MIR138-1","Down"
"2161",4898,"RNF217",1.89223561,7.91e-05,7.91e-05,1.89223561,"RNF217","Up"
"2162",4900,"MIR4291",-2.172373216,7.91e-05,7.91e-05,-2.172373216,"MIR4291","Down"
"2163",4901,"ODF2L",1.888148309,7.92e-05,7.92e-05,1.888148309,"ODF2L","Up"
"2164",4902,"LY6L",-2.053699252,7.92e-05,7.92e-05,-2.053699252,"LY6L","Down"
"2165",4903,"GOLGA8H",-3.545991118,7.93e-05,7.93e-05,-3.545991118,"GOLGA8H","Down"
"2166",4904,"HCP5B",-3.236350413,7.93e-05,7.93e-05,-3.236350413,"HCP5B","Down"
"2167",4905,"CGB5",-3.545991118,7.93e-05,7.93e-05,-3.545991118,"CGB5","Down"
"2168",4906,"NRXN3",-2.03886827,7.94e-05,7.94e-05,-2.03886827,"NRXN3","Down"
"2169",4907,"SMIM5",-2.095809407,7.94e-05,7.94e-05,-2.095809407,"SMIM5","Down"
"2170",4908,"CFB",-2.095809407,7.94e-05,7.94e-05,-2.095809407,"CFB","Down"
"2171",4909,"MIR3167",-2.025498946,7.95e-05,7.95e-05,-2.025498946,"MIR3167","Down"
"2172",4912,"MIR6079",-2.255548074,7.99e-05,7.99e-05,-2.255548074,"MIR6079","Down"
"2173",4913,"TDRD12",-2.255548074,7.99e-05,7.99e-05,-2.255548074,"TDRD12","Down"
"2174",4915,"MIR3616",-2.255548074,7.99e-05,7.99e-05,-2.255548074,"MIR3616","Down"
"2175",4916,"LOC101928143",-2.255548074,7.99e-05,7.99e-05,-2.255548074,"LOC101928143","Down"
"2176",4917,"SIRPD",-2.298403149,8.02e-05,8.02e-05,-2.298403149,"SIRPD","Down"
"2177",4918,"KRT74",-2.251370622,8.02e-05,8.02e-05,-2.251370622,"KRT74","Down"
"2178",4919,"SNORD116-3",-2.251370622,8.02e-05,8.02e-05,-2.251370622,"SNORD116-3","Down"
"2179",4920,"CRAT37",-2.298403149,8.02e-05,8.02e-05,-2.298403149,"CRAT37","Down"
"2180",4921,"SNORD116-9",-2.251370622,8.02e-05,8.02e-05,-2.251370622,"SNORD116-9","Down"
"2181",4922,"LINC01282",-2.298403149,8.02e-05,8.02e-05,-2.298403149,"LINC01282","Down"
"2182",4924,"SGMS2",1.893566606,8.05e-05,8.05e-05,1.893566606,"SGMS2","Up"
"2183",4925,"NBPF8",2.147906402,8.05e-05,8.05e-05,2.147906402,"NBPF8","Up"
"2184",4928,"LOC643542",1.8761672,8.1e-05,8.1e-05,1.8761672,"LOC643542","Up"
"2185",4929,"NBN",1.886273237,8.11e-05,8.11e-05,1.886273237,"NBN","Up"
"2186",4930,"IL17RE",-2.204305082,8.12e-05,8.12e-05,-2.204305082,"IL17RE","Down"
"2187",4932,"HTR3A",-2.16968743,8.12e-05,8.12e-05,-2.16968743,"HTR3A","Down"
"2188",4935,"LOC102606465",1.898361155,8.13e-05,8.13e-05,1.898361155,"LOC102606465","Up"
"2189",4937,"MIR6088",-2.363550891,8.14e-05,8.14e-05,-2.363550891,"MIR6088","Down"
"2190",4938,"MIR4299",-2.427180155,8.14e-05,8.14e-05,-2.427180155,"MIR4299","Down"
"2191",4939,"LL22NC01-81G9.3",-2.363550891,8.14e-05,8.14e-05,-2.363550891,"LL22NC01-81G9.3","Down"
"2192",4941,"IGSF23",-2.363550891,8.14e-05,8.14e-05,-2.363550891,"IGSF23","Down"
"2193",4942,"HTR3D",-2.363550891,8.14e-05,8.14e-05,-2.363550891,"HTR3D","Down"
"2194",4943,"SPDYA",-2.427180155,8.14e-05,8.14e-05,-2.427180155,"SPDYA","Down"
"2195",4944,"STMND1",-2.025738072,8.21e-05,8.21e-05,-2.025738072,"STMND1","Down"
"2196",4947,"ALDH4A1",-2.233769236,8.22e-05,8.22e-05,-2.233769236,"ALDH4A1","Down"
"2197",4948,"SNORD13J",-2.233769236,8.22e-05,8.22e-05,-2.233769236,"SNORD13J","Down"
"2198",4949,"ZMYM2",1.895460967,8.26e-05,8.26e-05,1.895460967,"ZMYM2","Up"
"2199",4953,"KIF2A",1.878456656,8.3e-05,8.3e-05,1.878456656,"KIF2A","Up"
"2200",4957,"HMGCS1",1.8758713,8.3e-05,8.3e-05,1.8758713,"HMGCS1","Up"
"2201",4963,"SNORA115",-2.125746645,8.31e-05,8.31e-05,-2.125746645,"SNORA115","Down"
"2202",4968,"SPOCK3",1.888019949,8.33e-05,8.33e-05,1.888019949,"SPOCK3","Up"
"2203",4969,"GNAQ",1.888807476,8.33e-05,8.33e-05,1.888807476,"GNAQ","Up"
"2204",4971,"ZNF681",1.950225648,8.35e-05,8.35e-05,1.950225648,"ZNF681","Up"
"2205",4973,"WDR88",-2.183244188,8.35e-05,8.35e-05,-2.183244188,"WDR88","Down"
"2206",4975,"FAM122C",-2.076870144,8.36e-05,8.36e-05,-2.076870144,"FAM122C","Down"
"2207",4976,"DDX43",-2.056164356,8.36e-05,8.36e-05,-2.056164356,"DDX43","Down"
"2208",4977,"LINC00294",-2.402737582,8.37e-05,8.37e-05,-2.402737582,"LINC00294","Down"
"2209",4978,"TCL6",-2.402737582,8.37e-05,8.37e-05,-2.402737582,"TCL6","Down"
