,Gene Name,D0 vs. D25 Log2 Fold Change,D0 vs. D25 p-value
45532,SPANXN5,1.540951377,0.030936841
10760,SPRNP1,1.539883828,0.030112723
3536,ZNF85,1.539780661,0.00201168
37043,CST3,1.537629535,0.00163832
26164,ZNF267,1.534866698,0.001891863
74342,KIR2DL1,1.534146881,0.084764327
32971,LINC00463,1.532832067,0.003069904
20846,BCKDK,1.530710123,0.001980604
48773,SPIRE1,1.527770174,0.001731816
21512,CXADRP3,1.52406228,0.167022811
5081,TUBGCP5,1.521522847,0.001849529
64784,LCE4A,1.519966958,0.011104779
21225,ZNF726,1.516463245,0.0124866
2670,PAXIP1-AS1,1.515204535,0.001608953
3413,ZNF708,1.514709448,0.002390847
67753,LINC00442,1.512895755,0.008649298
64644,USP51,1.512219365,0.001967256
15022,CLEC12A-AS1,1.512018059,0.016102648
3898,LOC100287834,1.51165804,0.20253545
30587,LOC102724738,1.51165804,0.20253545
74012,LOC100287704,1.51165804,0.20253545
8266,OR4C13,1.509617251,0.030112723
51289,OR4L1,1.509315281,0.015274455
414,LINC00939,1.509058889,0.004634602
6168,ZNF285,1.504457017,0.004019238
14669,PAXIP1,1.503881816,0.001708298
53765,LOC105375297,1.502545321,0.018293715
24955,ZNF626,1.502293732,0.002830298
62388,TRIM48,1.49822743,0.023759552
40593,LRP3,1.495479055,0.002481325
2159,UBE3A,1.495284041,0.001895661
39984,SSX7,1.493035901,0.026702517
22470,ANKRD30B,1.492282131,0.007150267
39495,OR11G2,1.487366287,0.015457038
9801,OR1F12,1.48712661,0.021852366
2415,ZNF234,1.486422339,0.004771748
8503,ABCC6,1.485514332,0.084764327
8804,ANKRD20A9P,1.485514332,0.084764327
1333,GLYAT,1.481433933,0.006487031
15100,NOTCH2NLB,1.479058285,0.005694327
19892,NOTCH2NLA,1.479058285,0.005694327
31306,NOTCH2NLC,1.479058285,0.005694327
43794,NOTCH2NLR,1.479058285,0.005694327
23937,PSG3,1.478915133,0.018101678
1349,RNVU1-20,1.475728888,0.708829646
18792,DEFB130A,1.475728888,0.708829646
25996,HIST2H4A,1.475728888,0.708829646
32832,LOC100288203,1.475728888,0.708829646
38825,LINC00266-1,1.475728888,0.708829646
62524,OCLNP1,1.475728888,0.708829646
27463,ZNF98,1.475567316,0.027463547
59869,PAGE2,1.475567316,0.027463547
16949,TOX2,1.474790341,0.002459864
20640,KRCC1,1.473790973,0.002593368
18310,REREP3,1.470022787,0.006606344
3290,MIR6859-2,1.468411713,0.052391011
23248,MIR6859-3,1.468411713,0.052391011
26758,MIR6859-1,1.468411713,0.052391011
11172,NOMO2,1.468018031,0.026702517
45457,NBPF15,1.467579577,0.014908954
72132,LINC02055,1.46746206,0.008951356
63207,NUDT10,1.464203254,0.003209981
23956,ADGRL1,1.463313902,0.002854047
56607,LCE2C,1.462074411,0.020351776
1887,ZNF668,1.461596583,0.002427524
70358,OR4Q3,1.460927123,0.009441837
47182,ZNF727,1.460124416,0.00972557
67043,LINC00226,1.459081212,0.012569259
9789,RUFY3,1.45763532,0.003164738
13152,NUDT11,1.456700096,0.003603137
16361,ZNF493,1.456236662,0.004573559
57045,UBE2NL,1.455656052,0.019608138
32348,ASNSP1,1.455211632,0.007059629
50847,ITGAD,1.453316184,0.011148237
1554,ZNF100,1.453127231,0.006029385
50508,MIR3156-1,1.452545597,0.031748158
29355,IGHV1OR15-1,1.451759211,0.016486747
73305,LOC102724760,1.451759211,0.016486747
22630,ZNF646,1.449890038,0.00262749
17272,PIP4P1,1.449726425,0.002439679
40928,PTPRT,1.445452294,0.006307267
4218,PBX4,1.444968503,0.002879215
27237,LINC02333,1.442384764,0.220713625
49662,KRT17P2,1.442384764,0.220713625
61547,GREB1L,1.441421411,0.003001348
27125,ZNF224,1.437138465,0.005187319
62642,TRIM43,1.435185042,0.106252006
73036,RNVU1-15,1.435185042,0.106252006
1954,CYP4F29P,1.43438577,0.015802472
31910,OR4C11,1.43438577,0.015802472
30270,LINC01563,1.432603818,0.006976417
