,Gene Name,D0 vs. D45 Log2 Fold Change,D0 vs. D45 p-value
742,KIAA1107,2.737043,2.67e-07
743,SEMA4A,-2.649267174,2.67e-07
748,MTRF1,2.556513024,2.7e-07
749,CLCN5,2.544579677,2.72e-07
755,FBF1,-3.23910357,2.73e-07
758,SGCB,2.542434888,2.75e-07
759,IQCB1,2.517322484,2.78e-07
769,CDHR3,-2.794213278,2.89e-07
771,AKAP11,2.506240373,2.94e-07
772,BANCR,-2.814536805,2.95e-07
773,MIPOL1,2.526539446,2.99e-07
775,TDRD1,-2.801089363,3.02e-07
776,KCNJ15,-3.021199712,3.03e-07
779,SLC16A7,2.499236448,3.15e-07
784,MMEL1,-2.752066162,3.23e-07
785,TMC4,-2.714236981,3.25e-07
787,MAN1A2,2.517848667,3.25e-07
788,TMSB15A,2.536202004,3.26e-07
789,BEAN1-AS1,-2.670655661,3.32e-07
799,PDE1A,2.558609158,3.37e-07
800,VSTM2A,2.532934426,3.38e-07
801,CREB3L3,-3.001590348,3.41e-07
809,AMN1,2.499070404,3.54e-07
812,INSYN1-AS1,-2.754386947,3.58e-07
813,CPEB2-DT,2.483106243,3.6e-07
814,SLC39A4,-2.638415066,3.63e-07
815,TAC4,-2.859823369,3.65e-07
820,CD79B,-2.71955657,3.67e-07
824,CRB3,-2.710005704,3.7e-07
828,NCAM2,2.495236643,3.86e-07
835,CTSL3P,-2.797680506,3.91e-07
836,CLDN7,-2.619627288,3.96e-07
837,MOGAT3,-2.778638942,3.96e-07
838,LINC02289,-2.778638942,3.96e-07
840,ANKRD20A1,3.133440851,3.98e-07
841,ANKRD20A3,3.133440851,3.98e-07
842,SLC25A24,2.485169675,4.3e-07
843,LOC101927759,-2.747123134,4.31e-07
844,ZDHHC15,2.521628562,4.31e-07
845,NFXL1,2.469944048,4.32e-07
847,SMIM6,-2.981710773,4.33e-07
850,KRT18,-2.579752837,4.39e-07
851,PAQR5,-2.858964114,4.43e-07
852,SPDYC,-2.907581743,4.43e-07
853,GGT1,-2.907581743,4.43e-07
855,C1orf127,-2.698935366,4.46e-07
856,TWF1,2.473624759,4.49e-07
860,PRM1,-2.990866923,4.5e-07
861,GFI1B,-2.736240803,4.61e-07
862,AKAP1,-2.892361002,4.61e-07
863,OLFM3,2.506478816,4.65e-07
865,LINC01672,-3.098916388,4.66e-07
867,LOC101927157,2.461414688,4.68e-07
868,CACNG7,-2.859199649,4.69e-07
869,RUNDC3B,2.457611555,4.7e-07
872,FABP6,-2.576284403,4.71e-07
873,PLSCR4,2.482525966,4.77e-07
876,CPEB2,2.449564096,4.77e-07
882,THAP4,-2.786836341,4.77e-07
883,SLC7A2,2.467267715,4.82e-07
886,SIRPB2,-3.028119037,4.89e-07
888,CDYL,-2.961553436,4.89e-07
890,C5orf58,-2.859420509,4.93e-07
896,APOBEC3H,-2.791841839,4.95e-07
900,ALG10B,2.515491939,4.96e-07
902,TINAGL1,-2.680435138,4.99e-07
903,MIR6779,-2.914034592,5.03e-07
904,CLDN6,-2.597857038,5.07e-07
905,ARHGEF19,-2.675669095,5.08e-07
906,PM20D1,-3.014335531,5.1e-07
907,ARHGAP32,-2.692579685,5.15e-07
908,SLC2A13,2.448647077,5.2e-07
909,ANKRD31,2.476004302,5.32e-07
911,KRT8,-2.570044584,5.34e-07
913,ZNF737,2.572311412,5.34e-07
914,CLOCK,2.453171085,5.37e-07
915,CCT6A,2.466387391,5.39e-07
917,SRD5A3,2.473133944,5.42e-07
920,GLRB,2.461196511,5.44e-07
921,SOX5-AS1,2.570800226,5.46e-07
924,IGF2BP2-AS1,-2.741732657,5.47e-07
925,GAL3ST1,-2.774133445,5.56e-07
929,CELF2-AS2,-2.774133445,5.56e-07
931,TRIM58,2.466871194,5.59e-07
933,FAM107A,-2.714226744,5.63e-07
935,MMP19,-2.816785859,5.64e-07
938,CYYR1,2.46451986,5.64e-07
941,JAKMIP2-AS1,-2.538335456,5.65e-07
942,ASMTL-AS1,-2.674629566,5.71e-07
944,EWSAT1,-2.741825009,5.75e-07
945,PSPH,2.461653245,5.76e-07
966,PRSS50,-2.795838793,5.81e-07
967,CDH26,-2.795838793,5.81e-07
969,NDUFS4,2.485975894,5.82e-07
974,MRPS35,2.462730035,5.87e-07
975,LINC01713,2.530939303,5.87e-07
976,SLC25A15,2.460372391,5.91e-07
979,MIR145,-2.635532514,5.96e-07
981,GRHL3,-2.706015067,6.09e-07
984,PARP2,2.452170745,6.16e-07
985,RPPH1,2.452170745,6.16e-07
987,UNC5CL,-2.688441628,6.18e-07
988,MIR143,-2.688441628,6.18e-07
989,NANP,2.458396081,6.2e-07
991,ZNF337-AS1,2.457866784,6.25e-07
993,ALG10,2.478813651,6.26e-07
994,IL16,-2.895436402,6.27e-07
996,EPS8L1,-2.763572993,6.39e-07
998,AP1M2,-3.063333921,6.41e-07
1000,TMEM17,2.444183836,6.42e-07
1001,GABARAPL1,2.436134591,6.43e-07
1004,RHBG,-2.695678523,6.48e-07
1008,CCDC116,-2.695678523,6.48e-07
1012,ZMAT1,2.455392952,6.54e-07
1015,FAM210A,2.458082138,6.55e-07
1017,ALOX15,-2.992664209,6.59e-07
1019,C16orf54,-2.706601713,6.6e-07
1020,RAB19,-2.649369469,6.63e-07
1021,PYURF,2.450223014,6.64e-07
1022,LINC01177,-2.937961084,6.64e-07
1023,DYNC1I1,2.447171847,6.7e-07
1030,CPLANE1,2.425574434,6.84e-07
1031,PIGY-DT,2.444064089,6.85e-07
1033,PIGY,2.444064089,6.85e-07
1034,CHIC1,2.473310562,6.86e-07
1036,ZNF248,2.456168548,6.95e-07
1050,CYP1A2,-2.876595323,7.01e-07
1051,FUT6,-2.920373649,7.04e-07
1054,RTBDN,-2.645815767,7.05e-07
1055,PAK5,2.408610571,7.13e-07
1057,SLFN12,-2.592839501,7.14e-07
1058,MICU2,2.447995596,7.15e-07
1060,RNMT,2.449768873,7.18e-07
1062,LOC105374727,2.419176561,7.25e-07
1063,SMC2-AS1,2.411604433,7.25e-07
1064,CMAS,2.414911453,7.26e-07
1066,HCN1,2.412212739,7.32e-07
1068,LINC01107,-2.731836405,7.4e-07
1069,KCNB2,2.417531108,7.4e-07
1070,LINC01007,-3.355673405,7.41e-07
1072,SNORD18C,-3.355673405,7.41e-07
1074,RBBP8,2.433876471,7.42e-07
1075,MIR4741,2.433876471,7.42e-07
1076,BICDL2,-2.600025386,7.51e-07
1077,LINC02396,-2.600025386,7.51e-07
1079,LOC105371414,-2.695636671,7.54e-07
1080,SDR42E2,-2.789668283,7.59e-07
1081,LOC100049716,-2.640070866,7.63e-07
1082,GGH,2.415408501,7.65e-07
1083,AP1B1P1,-2.769498677,7.79e-07
1084,MAP2K4P1,2.461529829,7.8e-07
1085,EXOC3L4,-2.68056271,7.91e-07
1086,PCDH15,2.43078268,8.01e-07
1102,LOC101927284,-2.684587653,8.06e-07
1103,EPHX4,2.439956929,8.16e-07
1104,MTHFD2L,2.400978016,8.2e-07
1146,KRT7,-2.556662743,8.39e-07
1148,NPIPA5,-5.510259475,8.52e-07
1150,HCG24,-2.875839401,8.53e-07
1151,PLGRKT,2.398947287,8.55e-07
1152,HFM1,2.402974077,8.67e-07
1155,CALML4,-2.599924623,8.7e-07
1160,LINC00399,-2.609491219,8.74e-07
1161,SNORD36C,-2.659972338,8.76e-07
1162,LINC00581,-2.915975774,8.79e-07
1163,SPEF2,2.401613638,8.92e-07
1165,OXR1,-2.464062564,8.97e-07
1166,HIST1H4F,-2.965900017,9.01e-07
1167,SIRPG-AS1,-2.965900017,9.01e-07
1168,IL21R,-2.965900017,9.01e-07
1169,RBBP8NL,-2.609090838,9.08e-07
1170,PIP4P1,2.405491952,9.21e-07
1172,TNRC18P1,-2.557477199,9.37e-07
1173,AGBL1,-2.557477199,9.37e-07
1174,LANCL2,2.402798949,9.39e-07
1177,AASS,2.378354389,9.56e-07
1178,PRH1,2.406988907,9.57e-07
1180,PRH1-PRR4,2.406988907,9.57e-07
1182,PRH1-TAS2R14,2.406988907,9.57e-07
1183,MIR3664,-2.683819215,9.57e-07
1184,LINC02323,-2.559668831,9.67e-07
1185,RASAL1,-2.533099445,9.77e-07
1187,PKD2,2.401841327,9.79e-07
1189,ZNF451-AS1,2.401108237,9.82e-07
1190,MIR1288,-3.101790933,9.84e-07
1191,GFOD1,-2.838158527,9.84e-07
1192,TRO,2.458740831,9.98e-07
1193,CABCOCO1,2.393516969,1e-06
1198,DPY19L2,2.411434932,1.01e-06
1199,ITGB4,-2.566865113,1.01e-06
1202,SMIM10L1,2.398862134,1.01e-06
1203,LOC100507384,-2.66734001,1.01e-06
1204,OTOA,-2.877983817,1.02e-06
1205,CHMP7,-2.877983817,1.02e-06
1206,LOC101929208,-2.631001003,1.02e-06
1207,ZFAND4,2.383566853,1.03e-06
1208,PEX7,2.386347559,1.03e-06
1209,FAM83E,-2.568851027,1.03e-06
1210,LOC105369209,-2.609712743,1.03e-06
1211,SLC40A1,2.383839255,1.04e-06
